latitude	pop		total pop		Latutude	Population		Latitude	Population
90	0		" 7,969,444,595 "		70-74	713238.1786	>82.5	85	 1 
89	0				65-69	4066889.581	77.5-82.5	80	" 4,925 "
88	0				60-64	28446558.78	72.5-77.5	75	" 46,961 "
87	0				55-59	105881549.5	67.5-72.5	70	" 1,730,771 "
86	0				50-54	290869813	62.5-67.5	65	" 7,200,674 "
85	0				45-49	315729782	57.5-62.5	60	" 40,660,151 "
84	0.016290065				40-44	561046173.1	52.5-57.5	55	" 193,767,639 "
83	0.684734773				35-39	881640465.1	47.5-52.5	50	" 308,694,772 "
82	60.02245289				30-34	976253585.1	42.5-47.5	45	" 346,598,395 "
81	558.7490751				25-29	1171933786	37.5-42.5	40	" 674,465,863 "
80	1193.673814				20-24	860237802.6	32.5-37.5	35	" 958,838,997 "
79	1444.213345				15-19	464295559.1	27.5-32.5	30	" 1,019,683,359 "
78	1667.91282				10-14	623070156.8	22.5-27.5	25	" 1,267,396,948 "
77	1986.588858				5-9	431869849.8	17.5-22.5	20	" 551,538,890 "
76	4448.909349				44084	225037922.7	12.5-17.5	15	" 551,724,421 "
75	4790.353077				44089	233494647.8	7.5-12.5	10	" 542,930,217 "
74	9250.338267				44094	305413575.5	2.5-7.5	5	" 332,204,643 "
73	26484.41105				44099	112054809	-2.5-2.5	0	" 238,247,741 "
72	46292.87147				44104	95251414.09	-7.5--2.5	-5	" 345,299,247 "
71	108371.6848				44109	125096499.9	-12.5--7.5	-10	" 148,059,591 "
70	522838.8729				44114	65702728.47	-17.5--12.5	-15	" 105,411,120 "
69	588108.9251				44119	70408718.01	-22.5--17.5	-20	" 99,813,796 "
68	465158.4792				44124	16452964.21	-27.5--22.5	-25	" 113,599,424 "
67	435108.9091				44129	3579230.995	-32.5--27.5	-30	" 47,116,025 "
66	762049.9558				44134	443279.9601	-37.5--32.5	-35	" 64,190,798 "
65	1816463.311				44139	437444.8206	-42.5--37.5	-40	" 7,977,711 "
64	1862496.053				44144	0	-47.5--42.5	-45	" 1,643,738 "
63	2324555.675				44149	0	-52.5--47.5	-50	" 302,528 "
62	3421727.961				44154	0	-57.5--52.5	-55	" 295,249 "
61	7309591.008				44159	0	-62.5--57.5	-60	 -   
60	13528188.08				44164	0	-67.5--62.5	-65	 -   
59	5795997.634				44169	0	-72.5--67.5	-70	 -   
58	10604645.95				-92.5	0	<-72.5 or (blank)	-75	 -   
57	20489695.96				75-79	14337.97745			
56	41897575.58				80-84	1813.146367			
55	27093634.33				85-90	0			
54	49614427.79								
53	54672305.66								
52	75244383.55								
51	62487879.22								
50	48850816.75								
49	64520910.05								
48	57590782.55								
47	46144108.48								
46	75973742.06								
45	71500238.87								
44	83888191.77								
43	69092114.16								
42	122749829								
41	148088924.7								
40	137227113.6								
39	114305391.5								
38	152094604.1								
37	185864797.4								
36	216966287.9								
35	212409384.3								
34	176351802.4								
33	167246725.2								
32	227119144.3								
31	235374218.5								
30	170161694.7								
29	188771132.1								
28	198257169								
27	270968806.4								
26	277932370.3								
25	236004308								
24	245184750.7								
23	237306712.2								
22	136391800								
21	108924224.3								
20	132430315.4								
19	99530936.14								
18	74261614.59								
17	88399052.27								
16	80491923.69								
15	121612032.5								
14	142370205.7								
13	118851206.9								
12	118371421.1								
11	142505420.7								
10	100971902.4								
9	85133515.14								
8	95947958.03								
7	119623183.1								
6	76103193.88								
5	55061999.61								
4	48766292.14								
3	32649974.67								
2	40311061.61								
1	57816432.16								
0	45494162.13								
-1	50073443.22								
-2	44552641.65								
-3	51259006.07								
-4	43965137.78								
-5	43644419.07								
-6	114089201.7								
-7	92341482.83								
-8	58821383.11								
-9	23697996.54								
-10	16463511.37								
-11	22999331.09								
-12	26077369.36								
-13	17648283.03								
-14	18525332.94								
-15	26804492.56								
-16	22521319.22								
-17	19911692.21								
-18	16235401.56								
-19	18512065.31								
-20	18070935.79								
-21	14526717.56								
-22	32468675.73								
-23	40282163.3								
-24	11166973.01								
-25	26651970.32								
-26	22189731.11								
-27	13308586.44								
-28	8439636.054								
-29	14668742.36								
-30	7096032.502								
-31	9357651.573								
-32	7553962.688								
-33	23920661.15								
-34	26126716.2								
-35	3449726.397								
-36	4216928.17								
-37	6476765.717								
-38	3837825.103								
-39	1096175.445								
-40	825269.7765								
-41	1549595.278								
-42	668845.871								
-43	724378.4642								
-44	167482.7912								
-45	468928.5905								
-46	187055.2512								
-47	95892.55182								
-48	50208.1549								
-49	48901.706								
-50	61222.29622								
-51	115353.7841								
-52	26842.21861								
-53	132673.494								
-54	159714.2332								
-55	2861.090724								
-56	0								
-57	0								
-58	0								
-59	0								
-60	0								
-61	0								
-62	0								
-63	0								
-64	0								
-65	0								
-66	0								
-67	0								
-68	0								
-69	0								
-70	0								
-71	0								
-72	0								
-73	0								
-74	0								
-75	0								
-76	0								
-77	0								
-78	0								
-79	0								
-80	0								
-81	0								
-82	0								
-83	0								
-84	0								
-85	0								
-86	0								
-87	0								
-88	0								
-89	0								
-90	0								
